is_cluster,pocket_name,pocket_alias,ward_id,ward_councillor,avg_hhsize,area_ha,density_dwellings,structure_count,age_of_is,upgrade_category,temp_sanitation,toilets_full_flush,toilets_chemical,toilets_portable,toilets_container,toilets_other,toilets_total,ratio_toilets_dwellings,pocket_code,centroidx,centroidy
4 in 1,4 in 1,Wallacedene 14 / J Section,-1.8663901026186636,Simpiwe Nonkeyizana,0.7155223172073634,-0.045881970600789905,-0.7270353482143302,-0.21866598336641457,15 - 20 years,City land. Can be upgraded,-0.7162946993614596,0.008161545505068039,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.1976683552961383,1:5,NORFOU001,1.2185328612254958,1.2483093944492962
Acacia Road,Acacia Road,Acacia Park - Parktown,0.06981954128678512,Melanie Arendse,2.191954561295692,-0.13339837287761436,-0.3780847239831474,-0.38405358566517617,10 - 15 years,Many constraints.  May need to be relocated,0.1970719620373951,-0.32213173979006443,-0.19592235171122838,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.2836092052278743,1:2,HILACA001,-0.9644188095325639,-0.4601595946770136
Amy Biehl,Amy Biehl,School Site,-0.9628256021294542,Fikiswa Nkunzana,-0.8356659898727802,-0.08356686137994991,0.6515825540851331,0.2076147380515203,15 - 20 years,Provincial or National government land.  Some constraints,-0.7162946993614596,0.7029163869879329,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.00350569433925326,1:6,MITAMY001,-0.14594508061680692,-0.15716089826150748
Appel Boord,Appel Boord,Crossroads 13/14/16,-1.3500675309105439,Johanna Martlow,1.500460978621411,-0.13285177494528166,-0.13176151448301873,-0.37706537711734117,5 - 10 years,City land. Can be upgraded,-0.7162946993614596,-0.242405774373998,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.26769423301829354,1:1,TYGAPP001,0.05474255112196203,0.6142405084130249
Area K,Area K,Never Never,0.7797630773854496,Patrick (Pat) Pietersen,1.556528025865272,-0.05471863717350188,0.363376188715,0.37882584747347775,10 - 15 years,Provincial or National government land.  Some constraints,-0.7162946993614596,1.0218202486521988,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,0.08561815003439889,1:5,MITARE001,-0.04516765126410403,-0.21197290870129046
Atlantis Farms,Meadowvale Farm,Crossroads 13/14/16,-1.027365923592969,Barbara Rass,1.1453696794102945,-0.13522036598539003,-0.4566225588981441,-0.39220649563765037,5 - 10 years,Provincial or National government land.  Some constraints,-0.7162946993614596,-0.35630001068266437,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.299524177437455,1:1,NORATL002,-0.6969641277418358,4.235977372618877
Atlantis Farms,Rondeberg,Crossroads 13/14/16,-1.027365923592969,Barbara Rass,1.1453696794102945,-0.11247581868999049,-0.9194680603040661,-0.3793947799666195,5 - 10 years,Provincial or National government land.  Some constraints,1.5671219541356771,-0.35630001068266437,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,0.11296802379666337,-0.28042621078595814,1:2,NORRON001,-0.1269792039114118,3.9806013997698266
Atlantis Pockets,Dassenberg Drive,Atlantis Tip,-1.1241764057882415,Cynthia Clayton,2.4909788132629487,-0.08399199310509757,-0.8217286164320453,-0.32698321585785706,10 - 15 years,Many constraints.  May need to be relocated,1.5671219541356771,-0.35630001068266437,-0.23681213321768332,-0.17885851165187333,-0.03696751285682169,0.39863807377628113,-0.22631530527338364,1:2,NORDAS001,-1.2076005626372075,4.13080002146051
Atlantis Pockets,Pine Grove Farm,Crossroads 13/14/16,-1.027365923592969,Barbara Rass,1.1453696794102945,-0.11721300077020722,-0.8969814641116511,-0.3793947799666195,> 20 years,Provincial or National government land.  Some constraints,-0.7162946993614596,-0.35630001068266437,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.299524177437455,1:1,NORPIN001,-0.8963791981708787,4.082269814277572
Atlantis Pockets,Rasta Camp - Atlantis,Crossroads 13/14/16,-1.1241764057882415,Cynthia Clayton,2.4909788132629487,-0.08138046965061912,-0.9848038143342246,-0.38521828708981537,10 - 15 years,Many constraints.  May need to be relocated,1.5671219541356771,-0.35630001068266437,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.02986700119314553,-0.29315818855362274,1:4,NORATL001,-1.1818759714199403,4.25946103198502
Atlantis Pockets,Saxon World,Crossroads 13/14/16,-1.027365923592969,Barbara Rass,1.1453696794102945,-0.11982452422468566,-0.9532186562517915,-0.38754768993909366,10 - 15 years,Many constraints.  May need to be relocated,1.5671219541356771,-0.35630001068266437,-0.23681213321768332,-0.17885851165187333,-0.1465757149395586,-0.10128451368804998,-0.2963411829955389,1:5,NORSAX001,-0.9049760567967923,4.099572501899781
Barcelona/ Europe/ Vukuzenzele,Barcelona/ Europe/ Vukuzenzele,Crossroads 13/14/16,-0.7692046377389093,Khaya Yozi,-0.6861538638891518,1.211384373419808,-0.268657642534535,6.538931682390029,15 - 20 years,Many constraints.  May need to be relocated,1.5671219541356771,-0.35630001068266437,0.5809834969114162,-0.17885851165187333,11.937728564682187,-0.10128451368804998,2.63837969245115,1:6,HILBAR001,-0.20818746823407638,0.09373815541260708
Berg Street,Berg Street,Crossroads 13/14/16,0.10208970201854259,Shaun August,1.238814758150062,-0.12617113355010423,-0.4352031493768719,-0.3561007514738362,5 - 10 years,City land. Can be upgraded,1.5671219541356771,-0.35630001068266437,0.3151999171194588,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.21358332750571904,1:1,HILBER001,-1.08880932096635,-0.959779741345428
Beverley Hills,Beverley Hills,Crossroads 13/14/16,0.7152227559219346,Jongidumo Maxheke,0.005339718785128401,-0.12031038905342584,-0.1394927384766377,-0.30135978451579537,15 - 20 years,City land.  Some constraints,0.09394991962728802,0.3270654071693339,-0.23681213321768332,-0.01803407645108668,-0.1602767401999007,-0.10128451368804998,-0.00350569433925326,1:1,HELBEV001,2.2720250981032843,-1.4175548101395357
Block 8,Open Space,Brown Farm 2,0.5216017915313899,Thembinkosi Pupa,-0.798287958376873,-0.12371144285460707,0.5482175551462636,-0.2652540403519812,15 - 20 years,Many constraints.  May need to be relocated,-0.7162946993614596,-0.17406923258879817,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.2485962663667967,1:7,MITOPE001,-0.20799894063263796,-0.1805538092659378
Block 8,School Site,Bongolwethu School/ Brown Farm 2,0.5216017915313899,Thembinkosi Pupa,-0.798287958376873,-0.09158363105416284,0.4145666520160119,0.04222713575275869,> 20 years,Many constraints.  May need to be relocated,-0.7162946993614596,0.37262310169280044,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.09581253315482156,1:6,MITSCH001,-0.21833967957190714,-0.1827116036430701
BM Section,BM Section,France - Barney Molokwana Corner,0.8120332381172071,Monde Nqulwana,-0.8356659898727802,0.777567814458422,-0.19972190278647306,4.745291488445712,> 20 years,City land. Can be upgraded,0.6833008958355883,7.547959989138782,0.2743101356130038,4.3534664803702965,1.7852688467686795,-0.02986700119314553,5.407584856918199,1:2,KHABMS001,0.6609813327103945,-0.3429530440236042
Bo-Kaap,Van der Meulen Street,Crossroads 13/14/16,0.42479130933611736,Dave Bryant,-1.5084705567991081,-0.13488633391563118,0.040783728885839976,-0.38871239136373287,> 20 years,City land.  Some constraints,-0.7162946993614596,-0.35630001068266437,-0.23681213321768332,-0.17885851165187333,-0.1602767401999007,-0.10128451368804998,-0.299524177437455,1:1,EBEVAN001,-1.7790088698585351,0.6627606324446931
