"is_cluster","pocket_name","pocket_alias","ward_id","ward_councillor","avg_hhsize","area_ha","density_dwellings","structure_count","age_of_is","upgrade_category","temp_sanitation","toilets_full_flush","toilets_chemical","toilets_portable","toilets_container","toilets_other","toilets_total","ratio_toilets_dwellings","pocket_code","centroidx","centroidy"
"4 in 1","4 in 1","Wallacedene 14 / J Section","19100006","Simpiwe Nonkeyizana","3.720000000","2.952000000","50.813008130","150","15 - 20 years","City land. Can be upgraded","0E-9","32.000000000","0E-9","0E-9","0E-9","0E-9","32.000000000","1:5","NORFOU001","18.732603000","-33.863384000"
"Acacia Road","Acacia Road","Acacia Park - Parktown","19100066","Melanie Arendse","4.510000000","0.070000000","114.285714286","8","10 - 15 years","Many constraints.  May need to be relocated","40.000000000","3.000000000","2.000000000","0E-9","0E-9","0E-9","5.000000000","1:2","HILACA001","18.501024000","-34.032822000"
"Amy Biehl","Amy Biehl","School Site","19100034","Fikiswa Nkunzana","2.890000000","1.711000000","301.578024547","516","15 - 20 years","Provincial or National government land.  Some constraints","0E-9","93.000000000","0E-9","0E-9","0E-9","0E-9","93.000000000","1:6","MITAMY001","18.587852000","-34.002772000"
"Appel Boord","Appel Boord","None","19100022","Johanna Martlow","4.140000000","0.088000000","159.090909091","14","5 - 10 years","City land. Can be upgraded","0E-9","10.000000000","0E-9","0E-9","0E-9","0E-9","10.000000000","1:1","TYGAPP001","18.609142000","-33.926268000"
"Area K","Area K","Never Never","19100088","Patrick (Pat) Pietersen","4.170000000","2.661000000","249.154453213","663","10 - 15 years","Provincial or National government land.  Some constraints","0E-9","121.000000000","0E-9","0E-9","0E-9","0E-9","121.000000000","1:5","MITARE001","18.598543000","-34.008208000"
"Atlantis Farms","Meadowvale Farm","None","19100032","Barbara Rass","3.950000000","0.010000000","100.000000000","1","5 - 10 years","Provincial or National government land.  Some constraints","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9",,"NORATL002","18.529397000","-33.567081000"
"Atlantis Farms","Rondeberg","None","19100032","Barbara Rass","3.950000000","0.759000000","15.810276680","12","5 - 10 years","Provincial or National government land.  Some constraints","100.000000000","0E-9","0E-9","0E-9","0E-9","6.000000000","6.000000000","1:2","NORRON001","18.589864000","-33.592408000"
"Atlantis Pockets","Dassenberg Drive","Atlantis Tip","19100029","Cynthia Clayton","4.670000000","1.697000000","33.588685916","57","10 - 15 years","Many constraints.  May need to be relocated","100.000000000","0E-9","0E-9","0E-9","9.000000000","14.000000000","23.000000000","1:2","NORDAS001","18.475226000","-33.577512000"
"Atlantis Pockets","Pine Grove Farm","None","19100032","Barbara Rass","3.950000000","0.603000000","19.900497512","12","> 20 years","Provincial or National government land.  Some constraints","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9","0E-9",,"NORPIN001","18.508242000","-33.582325000"
"Atlantis Pockets","Rasta Camp - Atlantis","None","19100029","Cynthia Clayton","4.670000000","1.783000000","3.925967471","7","10 - 15 years","Many constraints.  May need to be relocated","100.000000000","0E-9","0E-9","0E-9","0E-9","2.000000000","2.000000000","1:4","NORATL001","18.477955000","-33.564752000"
"Atlantis Pockets","Saxon World","None","19100032","Barbara Rass","3.950000000","0.517000000","9.671179884","5","10 - 15 years","Many constraints.  May need to be relocated","100.000000000","0E-9","0E-9","0E-9","1.000000000","0E-9","1.000000000","1:5","NORSAX001","18.507330000","-33.580609000"
"Barcelona/ Europe/ Vukuzenzele","Barcelona/ Europe/ Vukuzenzele","None","19100040","Khaya Yozi","2.970000000","44.355000000","134.190057491","5952","15 - 20 years","Many constraints.  May need to be relocated","100.000000000","0E-9","40.000000000","0E-9","883.000000000","0E-9","923.000000000","1:6","HILBAR001","18.581249000","-33.977889000"
"Berg Street","Berg Street","None","19100067","Shaun August","4.000000000","0.308000000","103.896103896","32","5 - 10 years","City land. Can be upgraded","100.000000000","0E-9","27.000000000","0E-9","0E-9","0E-9","27.000000000","1:1","HILBER001","18.487828000","-34.082372000"
"Beverley Hills","Beverley Hills","None","19100086","Jongidumo Maxheke","3.340000000","0.501000000","157.684630739","79","15 - 20 years","City land.  Some constraints","35.483870968","60.000000000","0E-9","33.000000000","0E-9","0E-9","93.000000000","1:1","HELBEV001","18.844363000","-34.127772000"
